2022/07/17 10:49:58 [error] 15752#2100: *109 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:11 [error] 15752#2100: *109 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:24 [error] 15752#2100: *110 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:37 [error] 15752#2100: *2115 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:50 [error] 15752#2100: *2115 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:51:03 [error] 15752#2100: *3118 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:51:16 [error] 15752#2100: *4120 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:51:29 [error] 15752#2100: *4120 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:51:42 [error] 15752#2100: *5123 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:51:55 [error] 15752#2100: *5123 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:52:08 [error] 15752#2100: *6126 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:52:21 [error] 15752#2100: *7128 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 11:03:34 [error] 15752#2100: *7446 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 11:11:10 [error] 15752#2100: *7455 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:11:13 [error] 15752#2100: *7455 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:11:34 [error] 15752#2100: *7455 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:14:59 [error] 15752#2100: *7480 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:14:59 [error] 15752#2100: *7480 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
